日期,站点,充电量(kwh),充电总收入(元),充电服务费收入(元),总订单数量
8月1日,四方坪站,12047.06,10910.52,4003.43,513
8月1日,高岭站,4686.3,4148.63,1101.28,181
8月2日,四方坪站,12939.68,11397.03,4319.1,533
8月2日,高岭站,5902.47,4847.23,1450.56,201
8月3日,四方坪站,12198.6,10932.28,4111.67,506
8月3日,高岭站,5648.75,4681.49,1382.67,185
8月4日,四方坪站,13563.73,11849.01,4688.12,544
8月4日,高岭站,5261.84,4447.58,1288.37,186
8月5日,四方坪站,12538.22,10842.25,4328.14,499
8月5日,高岭站,5886.23,5070.41,1479.17,216
8月6日,四方坪站,12232.94,10550.29,4140.57,524
8月6日,高岭站,5350.76,4491.9,1378.46,202
8月7日,四方坪站,10961.13,9296.75,3781.45,444
8月7日,高岭站,4496.24,3782.69,1100.76,170
8月8日,四方坪站,12445.85,10958.8,4256.64,518
8月8日,高岭站,4698.67,3934.21,1148.67,200
8月9日,四方坪站,12651.35,10791.32,4409.76,513
8月9日,高岭站,4704.13,3890.15,1193.49,179
8月10日,四方坪站,11835.21,10144.21,4080.47,484
8月10日,高岭站,4268.12,3491.78,1135.68,155
8月11日,四方坪站,11427.99,9886.4,3923.19,474
8月11日,高岭站,4750.12,3858.58,1229.44,164
8月12日,四方坪站,10983.5,9474.97,3824.92,466
8月12日,高岭站,4194.95,3729.55,1028.96,165
8月13日,四方坪站,10485.73,9038.78,3518.32,430
8月13日,高岭站,4337.44,3526.76,1115.33,150
8月14日,四方坪站,11344.47,9753.62,3947.56,455
8月14日,高岭站,4702.45,4089.51,1211.6,160
8月15日,四方坪站,11032.32,9697.28,3706.69,449
8月15日,高岭站,4842.36,3951.98,1246.04,170
8月16日,四方坪站,12769.17,11213.11,4344.27,505
8月16日,高岭站,4960.63,4034.66,1189.64,168
8月17日,四方坪站,12297.27,10656.41,4177.17,504
8月17日,高岭站,4415.05,3598.92,1067.21,147
8月18日,四方坪站,13222.09,11146.12,4576.71,497
8月18日,高岭站,5208.97,4415.11,1270.76,167
8月19日,四方坪站,11588.9,9919.06,4006.84,481
8月19日,高岭站,4080.46,3341.38,1028.43,144
8月20日,四方坪站,12428.02,10585.72,4308.68,501
8月20日,高岭站,5084.96,4391.02,1262.65,180
8月21日,四方坪站,12258.8,10474.27,4255.14,491
8月21日,高岭站,4444.83,3593.37,1200.62,151
8月22日,四方坪站,10775.75,9278.25,3728.61,454
8月22日,高岭站,4610.77,3816.28,1168.96,168
8月23日,四方坪站,11924.89,10173.34,4177.87,494
8月23日,高岭站,5157.87,4470.81,1270.63,181
8月24日,四方坪站,12250.47,10640.06,4226.21,478
8月24日,高岭站,5026.93,4081.42,1238.38,165
8月25日,四方坪站,13129.18,11283.02,4533.61,544
8月25日,高岭站,5386.27,4599.97,1346.78,176
8月26日,四方坪站,,,,
8月26日,高岭站,,,,
8月27日,四方坪站,,,,
8月27日,高岭站,,,,
8月28日,四方坪站,,,,
8月28日,高岭站,,,,
8月29日,四方坪站,,,,
8月29日,高岭站,,,,
8月30日,四方坪站,,,,
8月30日,高岭站,,,,
8月31日,四方坪站,,,,
8月31日,高岭站,,,,
